id,name,category,price_tier,neighborhood,opening_hours,average_rating,good_for_kids
1,It,Mediterranean,Expensive,Vermont,8:05 AM,2,false
2,Andalax,Japanese,Medium,Monterey,1:54 AM,5,false
3,Konklux,Thai,Cheep,Spenser,10:18 AM,4,true
4,Keylex,French,Cheep,Steensland,1:23 PM,4,false
5,Rank,Thai,Medium,Merry,12:10 PM,4,true
6,Hatity,Mediterranean,Expensive,Clove,8:10 PM,3,true
7,Transcof,Chinese,Cheep,Manitowish,8:33 AM,3,false
8,Alphazap,Thai,Cheep,Meadow Valley,6:46 AM,5,false
9,Regrant,Vegan,Medium,Steensland,3:58 AM,5,false
10,Lotstring,Thai,Cheep,Eliot,10:39 PM,4,true
11,Transcof,Vegan,Cheep,Jana,3:58 AM,4,true
12,Sonsing,Thai,Medium,Fordem,3:05 AM,1,true
13,Lotlux,Korean,Cheep,Dorton,5:16 AM,1,true
14,Redhold,Italian,Medium,Pleasure,11:21 AM,4,false
15,Biodex,French,Medium,Jenna,9:29 AM,2,false
16,Hatity,Mexican,Expensive,Elmside,8:05 PM,2,false
17,Biodex,Vegan,Expensive,Mallard,11:21 PM,3,true
18,Redhold,Mexican,Expensive,Larry,3:14 PM,4,true
19,Matsoft,American,Medium,Caliangt,12:39 PM,3,true
20,Y-find,American,Expensive,Waywood,5:23 PM,5,false
21,Flowdesk,Indian,Medium,Crest Line,2:53 PM,2,false
22,Prodder,Mexican,Expensive,Clove,5:17 PM,3,true
23,Voltsillam,Italian,Cheep,Veith,7:47 AM,4,false
24,Zathin,Mediterranean,Expensive,School,1:36 PM,2,true
25,Tempsoft,Mediterranean,Expensive,Acker,6:09 AM,3,true
26,Wrapsafe,American,Expensive,Transport,9:27 PM,1,false
27,Alpha,Thai,Cheep,Burrows,6:19 PM,3,false
28,Redhold,French,Cheep,Ryan,5:39 AM,1,false
29,Stronghold,Thai,Medium,Mayfield,5:20 PM,1,true
30,Job,French,Cheep,Ramsey,11:31 PM,3,true
31,Veribet,American,Expensive,Buena Vista,10:53 PM,4,true
32,Trippledex,Vegan,Cheep,Thompson,3:51 PM,4,false
33,Namfix,Vegan,Expensive,Dixon,9:44 PM,2,true
34,Vagram,American,Cheep,Prentice,7:24 AM,3,true
35,Bigtax,Japanese,Expensive,Hansons,6:29 PM,5,false
36,Lotstring,Korean,Medium,Norway Maple,8:18 AM,2,false
37,Tampflex,American,Medium,Lukken,11:42 PM,1,false
38,Asoka,Thai,Cheep,Lakewood Gardens,1:12 AM,1,true
39,Zamit,Mexican,Expensive,Transport,6:33 AM,1,false
40,Tampflex,French,Cheep,Hauk,12:45 AM,3,true
41,Bigtax,Mexican,Expensive,Kenwood,12:09 PM,4,false
42,Cookley,Italian,Medium,Bartelt,2:06 PM,4,true
43,Otcom,Mexican,Expensive,Tomscot,1:48 AM,2,true
44,Toughjoyfax,American,Expensive,Comanche,8:56 PM,1,false
45,Fix San,Vegan,Cheep,Sutteridge,12:18 PM,3,false
46,Stringtough,Indian,Medium,Rusk,5:27 AM,2,false
47,Duobam,Thai,Cheep,Blue Bill Park,5:30 AM,3,true
48,Bitwolf,French,Cheep,Little Fleur,7:42 AM,1,false
49,Fixflex,Thai,Cheep,Meadow Valley,4:33 AM,2,true
50,Solarbreeze,American,Cheep,Rigney,7:00 PM,1,false
51,Flowdesk,American,Medium,Eagle Crest,5:19 AM,1,false
52,Stringtough,Chinese,Expensive,1st,5:19 AM,2,true
53,Konklux,Vegan,Expensive,Thompson,7:01 AM,2,false
54,Alphazap,Indian,Expensive,Katie,1:52 PM,3,true
55,Bitchip,Mexican,Cheep,Jackson,9:17 PM,2,true
56,Zoolab,Vegan,Expensive,Oak Valley,6:24 PM,2,false
57,Zontrax,Italian,Cheep,Muir,12:26 AM,5,false
58,Biodex,Chinese,Cheep,Lawn,5:26 PM,5,false
59,Job,Mediterranean,Cheep,Melody,11:16 PM,4,true
60,Cardify,Mediterranean,Cheep,Judy,3:22 AM,5,false
61,Sonsing,Chinese,Medium,Eliot,11:26 PM,2,false
62,Tresom,Vegan,Expensive,Mifflin,6:31 PM,1,false
63,Subin,American,Medium,Burrows,3:07 AM,4,true
